Workers,Tiempo Promedio (s),Speedup (x),Eficiencia (x),Overhead estimado respecto secuencial
1,0.5808508699992672,0.28393217350991945,0.28393217350991945,0.41592861999524755
2,0.47294485999736935,0.3487134842842714,0.1743567421421357,
3,0.5014682900044136,0.32887872132965384,0.10962624044321795,
4,0.5572778800036758,0.2959425735737649,0.07398564339344123,
6,0.5951761899981648,0.27709819844192374,0.046183033073653956,
8,0.683446609985549,0.24130963208304854,0.030163704010381067,
12,0.6909314600168728,0.2386955284971278,0.019891294041427317,
16,0.7972484599915333,0.2068643067755453,0.01292901917347158,
32,1.1411138300201855,0.14452743071311494,0.004516482209784842,
