Archivo (MB),Workers,Tiempo Promedio (s),Speedup (x),Eficiencia (x),Tiempo Secuencial Base,Overhead Estimado (1W)
10,1,0.2027850500191562,0.15702340970331696,0.15702340970331696,0.03184199999086559,0.1709430500282906
10,2,0.18613150001037865,0.1710726018384319,0.08553630091921595,0.03184199999086559,
10,3,0.19761539000319317,0.16113117500793367,0.05371039166931122,0.03184199999086559,
10,4,0.20268914997577667,0.15709770352616811,0.03927442588154203,0.03184199999086559,
10,6,0.2527503199758939,0.12598203631909355,0.02099700605318226,0.03184199999086559,
10,8,0.2776590299909003,0.1146802248495543,0.014335028106194287,0.03184199999086559,
10,12,0.32376969000324607,0.09834768656246465,0.008195640546872053,0.03184199999086559,
10,16,0.31440638001076876,0.10127657075462325,0.006329785672163953,0.03184199999086559,
10,32,0.3066727099940181,0.10383056252865373,0.003244705079020429,0.03184199999086559,
100,1,0.47243532999418675,0.3599434657135139,0.3599434657135139,0.17005001000361517,0.3023853199905716
100,2,0.45301091999281196,0.37537728672481757,0.18768864336240879,0.17005001000361517,
100,3,0.4719808400026523,0.36029007025509674,0.12009669008503225,0.17005001000361517,
100,4,0.5068501500296406,0.33550352109725257,0.08387588027431314,0.17005001000361517,
100,6,0.5146824099938385,0.3303979438614405,0.05506632397690675,0.17005001000361517,
100,8,0.5413326200214215,0.3141322058088537,0.03926652572610671,0.17005001000361517,
100,12,0.607827009994071,0.2797671166427334,0.02331392638689445,0.17005001000361517,
100,16,0.6543024799902923,0.2598951023479815,0.016243443896748845,0.17005001000361517,
100,32,0.9348560000187718,0.18189968294603723,0.005684365092063663,0.17005001000361517,
1024,1,4.13915847002063,0.45175276896289424,0.45175276896289424,1.8698763000080363,2.2692821700125934
1024,2,3.923401240003295,0.476595735593555,0.2382978677967775,1.8698763000080363,
1024,3,3.96100072999252,0.4720716878059165,0.15735722926863885,1.8698763000080363,
1024,4,3.8509105299948714,0.4855673185454471,0.12139182963636178,1.8698763000080363,
1024,6,3.74483651999617,0.49932120935681024,0.08322020155946837,1.8698763000080363,
1024,8,3.9511529499781317,0.4732482704873233,0.059156033810915415,1.8698763000080363,
1024,12,3.780489269993268,0.49461224896198847,0.041217687413499036,1.8698763000080363,
1024,16,3.829982479987666,0.48822058841743265,0.03051378677608954,1.8698763000080363,
1024,32,3.997045540006366,0.467814609889348,0.014619206559042124,1.8698763000080363,
